City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,73.35,clear sky,-23.1203,-134.9692,People ThankYou
5,Kang,BW,77.2,clear sky,-23.6752,22.7876,Kang Ultra Stop
7,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
10,Luanda,AO,78.33,broken clouds,-8.8368,13.2343,Hotel Fórum
11,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
25,Luwuk,ID,77.85,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
29,Bandarbeyla,SO,77.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
30,Salinopolis,BR,80.1,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
33,Atuona,PF,78.15,few clouds,-9.8,-139.0333,Villa Enata
34,Mabaruma,GY,79.12,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
36,Lafiagi,NG,83.3,scattered clouds,8.8667,5.4167,Bus group international
40,Linhares,BR,76.33,broken clouds,-19.3911,-40.0722,Hotel Conceição
44,Vila Velha,BR,78.94,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
47,Fuerte Olimpo,PY,84.49,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
48,San Patricio,US,71.58,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
51,Kavaratti,IN,81.64,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
57,Hithadhoo,MV,81.54,broken clouds,-0.6,73.0833,Scoop Guest House
59,Kloulklubed,PW,75.7,few clouds,7.0419,134.2556,Storyboard Beach Resort
62,Caravelas,BR,77.41,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
66,Caldas Novas,BR,73.85,broken clouds,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
70,Sijunjung,ID,71.96,light rain,-0.6876,100.9537,Hotel Bukik Gadang
71,Gunjur,GM,82.47,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
74,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
79,Sambava,MG,74.53,light rain,-14.2667,50.1667,Melrose
84,Butaritari,KI,82.27,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
91,Totness,SR,79.39,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
92,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
97,Lagunas,PE,77.81,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
98,Bengkulu,ID,75.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
99,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
100,Cosala,MX,87.21,clear sky,24.4125,-106.6908,Hotel Real del Conde
103,Buin,CL,84.52,clear sky,-33.7333,-70.75,Paihuen
110,Saint-Philippe,RE,74.75,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
113,Lompoc,US,71.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
116,Sabha,LY,73.42,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
127,Cabo San Lucas,MX,87.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
136,Victoria,HK,74.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
138,Moree,AU,73.42,broken clouds,-29.4667,149.85,Molika Springs Motel
139,Trelew,AR,84.94,clear sky,-43.249,-65.3051,Hotel Touring Club
143,Basco,PH,79.41,broken clouds,20.4487,121.9702,Nathaniel's Lodge
144,Bilma,NE,79.81,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
148,Faanui,PF,80.15,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
153,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
156,Lumphat,KH,70.27,overcast clouds,13.4878,106.9816,Lumphat Homestay
159,Sainte-Marie,RE,75.33,light rain,-20.8968,55.5496,Les pailles en queue de Sainte Marie
160,Saquarema,BR,78.84,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
161,Vao,NC,72.45,light rain,-22.6667,167.4833,Hotel Kou-Bugny
163,Port Blair,IN,80.35,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
