,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,3.42,97,75,7.0,broken clouds
1,Bluff,NZ,-46.6,168.3333,54.82,87,100,7.96,overcast clouds
2,Tiksi,RU,71.6872,128.8694,-6.18,95,100,5.59,overcast clouds
3,Laguna,US,38.421,-121.4238,68.5,81,75,1.99,haze
4,Rikitea,PF,-23.1203,-134.9692,73.35,65,5,7.47,clear sky
5,Kang,BW,-23.6752,22.7876,77.2,14,5,11.41,clear sky
6,Dikson,RU,73.5069,80.5464,-11.13,95,99,1.59,overcast clouds
7,Hilo,US,19.7297,-155.09,80.33,79,1,6.91,clear sky
8,Kruisfontein,ZA,-34.0033,24.7314,57.88,83,18,5.1,few clouds
9,Husavik,IS,66.0449,-17.3389,31.91,93,100,3.29,light snow
10,Luanda,AO,-8.8368,13.2343,78.33,85,57,12.71,broken clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,46,8.99,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,46.06,61,40,37.98,scattered clouds
13,Punta Arenas,CL,-53.15,-70.9167,53.71,58,20,41.43,few clouds
14,Port Alfred,ZA,-33.5906,26.891,61.83,76,33,3.74,scattered clouds
15,Nome,US,64.5011,-165.4064,0.16,65,1,3.44,clear sky
16,Klaksvik,FO,62.2266,-6.589,45.52,76,100,26.24,overcast clouds
17,Mataura,NZ,-46.1927,168.8643,62.1,56,100,7.07,moderate rain
18,Port Shepstone,ZA,-30.7414,30.455,62.4,77,38,5.3,scattered clouds
19,Torbay,CA,47.6666,-52.7314,53.28,96,90,24.16,light intensity drizzle
20,Georgetown,MY,5.4112,100.3354,80.53,93,40,5.99,scattered clouds
21,Jumla,NP,29.2747,82.1838,48.06,41,100,2.21,overcast clouds
22,Jamestown,US,42.097,-79.2353,38.79,79,90,10.0,overcast clouds
23,Butajira,ET,8.1167,38.3667,58.53,42,3,3.85,clear sky
24,Nikolskoye,RU,59.7035,30.7861,38.88,98,100,5.03,light rain
25,Luwuk,ID,-0.9516,122.7875,77.85,79,33,1.68,scattered clouds
26,Camden,US,39.7835,-74.9663,48.06,47,16,3.0,few clouds
27,Coquimbo,CL,-29.9533,-71.3436,60.53,77,75,13.8,broken clouds
28,Gasa,PS,31.5,34.4667,65.17,67,11,11.41,few clouds
29,Bandarbeyla,SO,9.4942,50.8122,77.29,74,100,11.9,overcast clouds
30,Salinopolis,BR,-0.6136,-47.3561,80.1,86,74,11.27,broken clouds
31,Ribeira Grande,PT,38.5167,-28.7,64.8,82,20,23.02,few clouds
32,Abnub,EG,27.2696,31.1511,62.82,50,0,10.49,clear sky
33,Atuona,PF,-9.8,-139.0333,78.15,75,13,13.6,few clouds
34,Mabaruma,GY,8.2,-59.7833,79.12,82,44,4.7,scattered clouds
35,Evreux,FR,49.0241,1.1508,50.92,87,90,5.75,overcast clouds
36,Lafiagi,NG,8.8667,5.4167,83.3,40,49,3.94,scattered clouds
37,Markova,UA,48.6758,24.4138,41.99,81,100,9.42,overcast clouds
38,Albany,US,42.6001,-73.9662,40.86,72,55,1.99,broken clouds
